# mode: global
# bar side calib
0 L 0.84012
0 R 1.27285
1 L 0.970844
1 R 0.887868
2 L 0.973888
2 R 0.886984
3 L 1.23145
3 R 0.806917
4 L 1.03799
4 R 1.09879
5 L 0.951337
5 R 0.989032
6 L 0.884162
6 R 1.19297
7 L 1.10736
7 R 0.996322
8 L 1.05095
8 R 0.894906
9 L 1.0045
9 R 0.895861
10 L 1.08466
10 R 0.89327
11 L 1.26039
11 R 0.92143
12 L 1.14539
12 R 0.871932
13 L 0.987559
13 R 0.966162
14 L 1.13941
14 R 1.29819
15 L 0.990607
15 R 0.975985
