# mode: global
# bar side calib
0 L 0.843124
0 R 1.28241
1 L 0.967158
1 R 0.884937
2 L 0.971647
2 R 0.88549
3 L 1.22742
3 R 0.805651
4 L 1.03754
4 R 1.09823
5 L 0.953605
5 R 0.990304
6 L 0.881556
6 R 1.19201
7 L 1.10379
7 R 0.993734
8 L 1.05249
8 R 0.896162
9 L 1.00101
9 R 0.894178
10 L 1.08214
10 R 0.893458
11 L 1.25765
11 R 0.922026
12 L 1.14491
12 R 0.87172
13 L 0.9941
13 R 0.969634
14 L 1.14158
14 R 1.295
15 L 0.99416
15 R 0.981295
