# mode: global
# bar side calib
0 L 0.843805
0 R 1.28256
1 L 0.968043
1 R 0.884257
2 L 0.973423
2 R 0.886327
3 L 1.22601
3 R 0.803768
4 L 1.03528
4 R 1.09415
5 L 0.954534
5 R 0.992339
6 L 0.882472
6 R 1.19114
7 L 1.10514
7 R 0.995065
8 L 1.05199
8 R 0.89526
9 L 1.00568
9 R 0.897314
10 L 1.08231
10 R 0.891069
11 L 1.25921
11 R 0.921065
12 L 1.14663
12 R 0.872315
13 L 0.992825
13 R 0.969222
14 L 1.14486
14 R 1.29914
15 L 0.990018
15 R 0.975604
