# mode: global
# bar side calib
0 L 0.842099
0 R 1.28165
1 L 0.961201
1 R 0.882478
2 L 0.977285
2 R 0.890499
3 L 1.22697
3 R 0.802777
4 L 1.03815
4 R 1.09815
5 L 0.950245
5 R 0.987025
6 L 0.881444
6 R 1.19182
7 L 1.10559
7 R 0.996932
8 L 1.05388
8 R 0.896912
9 L 1.00324
9 R 0.895259
10 L 1.08152
10 R 0.891915
11 L 1.25772
11 R 0.922576
12 L 1.14841
12 R 0.875542
13 L 0.996856
13 R 0.974389
14 L 1.13995
14 R 1.29661
15 L 0.989677
15 R 0.973094
