# mode: global
# bar side calib
0 L 0.842097
0 R 1.28455
1 L 0.968878
1 R 0.885294
2 L 0.975223
2 R 0.886902
3 L 1.22737
3 R 0.804976
4 L 1.03677
4 R 1.09346
5 L 0.953173
5 R 0.989944
6 L 0.881084
6 R 1.1875
7 L 1.10883
7 R 0.996603
8 L 1.05203
8 R 0.896178
9 L 1.00464
9 R 0.895506
10 L 1.08576
10 R 0.892102
11 L 1.26255
11 R 0.925395
12 L 1.14391
12 R 0.872444
13 L 0.987
13 R 0.968737
14 L 1.13603
14 R 1.28301
15 L 0.993047
15 R 0.984177
