# bar  side  diff_mean
0  L  31.2593
0  R  -70.039
1  L  18.3017
1  R  31.2733
2  L  17.942
2  R  33.1641
3  L  -30.9087
3  R  31.7339
4  L  6.61892
4  R  -7.42926
5  L  22.4595
5  R  19.0709
6  L  23.8838
6  R  -20.9129
7  L  -17.1505
7  R  14.0486
8  L  1.86708
8  R  28.8164
9  L  11.4579
9  R  30.0085
10  L  -4.87823
10  R  28.1406
11  L  -42.6989
11  R  25.191
12  L  -26.2604
12  R  29.1452
13  L  3.10274
13  R  5.4816
14  L  -34.9201
14  R  -75.8255
15  L  0.342725
15  R  -11.4518
