# bar  side  diff_mean
0  L  30.2097
0  R  -57.1892
1  L  16.6472
1  R  28.6284
2  L  18.4144
2  R  28.1447
3  L  -28.6938
3  R  32.6742
4  L  6.91748
4  R  -6.73462
5  L  21.0252
5  R  18.4275
6  L  23.4467
6  R  -19.8442
7  L  -15.5143
7  R  13.6444
8  L  2.00452
8  R  27.675
9  L  10.7464
9  R  28.6675
10  L  -6.00683
10  R  29.2729
11  L  -40.7372
11  R  26.0739
12  L  -25.3336
12  R  32.0812
13  L  5.77936
13  R  8.96976
14  L  -33.1007
14  R  -82.0141
15  L  -4.69898
15  R  -13.3889
