# bar  side  diff_mean
0  L  25.3439
0  R  -63.9813
1  L  14.0231
1  R  29.2714
2  L  18.8927
2  R  32.067
3  L  -28.41
3  R  38.8729
4  L  7.90479
4  R  -7.36057
5  L  20.5807
5  R  17.6951
6  L  24.2845
6  R  -21.6088
7  L  -18.05
7  R  14.5874
8  L  2.03228
8  R  29.4872
9  L  12.1928
9  R  29.7633
10  L  -3.7217
10  R  29.5154
11  L  -40.7746
11  R  26.3769
12  L  -25.8933
12  R  28.567
13  L  4.76143
13  R  -0.413561
14  L  -37.2497
14  R  -78.5324
15  L  -1.5806
15  R  -9.47944
