# bar  side  diff_mean
0  -730.216  66.0409
1  74.4946  67.351
2  150.298  59.9112
3  -496.299  60.0648
4  -478.691  57.9886
5  -468.341  58.511
6  -338.993  58.0646
7  -95.0974  59.0703
8  -297.846  55.688
9  -195.457  58.6902
10  -143.595  59.302
11  -331.044  60.5096
12  20.7769  60.3474
13  -27.6736  63.8262
14  -47.5749  76.5304
15  -194.78  79.8431
