# bar  side  diff_mean
0  -660.343  70.5265
1  153.338  65.3601
2  231.431  62.1647
3  -422.593  59.053
4  -400.549  57.6175
5  -389.358  59.2973
6  -259.474  57.0924
7  -15.6784  59.3751
8  -222.695  58.1464
9  -115.306  56.8753
10  -67.104  58.7677
11  -255.25  58.6473
12  94.1889  60.5055
13  43.5856  62.4467
14  19.969  67.6018
15  -112.311  75.4342
