# bar  side  diff_mean
0  -505.769  62.8538
1  300.323  62.106
2  380.542  59.3814
3  -272.928  56.034
4  -253.158  56.2668
5  -240.259  57.1448
6  -109.999  55.4363
7  131.147  56.1967
8  -70.746  56.4257
9  33.6064  56.5842
10  82.5366  56.2716
11  -104.708  57.0725
12  245.1  59.4246
13  189.406  61.5636
14  178.414  62.7101
15  29.7528  66.4232
