# bar  side  diff_mean
0  L  -1.17896
0  R  -0.70965
1  L  -0.915167
1  R  -1.23816
2  L  -0.821145
2  R  -1.12351
3  L  -0.663034
3  R  -1.25452
4  L  -0.705507
4  R  -0.713129
5  L  -0.883784
5  R  -0.929097
6  L  -0.994711
6  R  -0.660034
7  L  -0.738178
7  R  -0.863867
8  L  -0.705062
8  R  -1.0216
9  L  -0.850788
9  R  -1.16607
10  L  -0.714582
10  R  -1.19689
11  L  -0.628665
11  R  -1.11109
12  L  -0.745819
12  R  -1.2002
13  L  -0.917502
13  R  -0.990736
14  L  -0.910128
14  R  -0.735576
15  L  -1.00242
15  R  -1.01996
