# bar  side  diff_mean
0  L  -1.14765
0  R  -0.673568
1  L  -0.78325
1  R  -1.25257
2  L  -0.831253
2  R  -1.15017
3  L  -0.634176
3  R  -1.18438
4  L  -0.699081
4  R  -0.717738
5  L  -0.869495
5  R  -0.947991
6  L  -1.00353
6  R  -0.696687
7  L  -0.753927
7  R  -0.882153
8  L  -0.714819
8  R  -1.052
9  L  -0.879274
9  R  -1.19013
10  L  -0.729697
10  R  -1.16952
11  L  -0.606466
11  R  -1.0883
12  L  -0.743169
12  R  -1.38732
13  L  -0.954066
13  R  -1.02937
14  L  -0.839449
14  R  -0.763627
15  L  -1.1792
15  R  -1.13888
