# bar  side  diff_mean
0  L  -1.16145
0  R  -0.677283
1  L  -0.856011
1  R  -1.20397
2  L  -0.866125
2  R  -1.12086
3  L  -0.632652
3  R  -1.13432
4  L  -0.73949
4  R  -0.729018
5  L  -0.895471
5  R  -0.996742
6  L  -1.03922
6  R  -0.672386
7  L  -0.765695
7  R  -0.895282
8  L  -0.722083
8  R  -0.993938
9  L  -0.869334
9  R  -1.16693
10  L  -0.73371
10  R  -1.19252
11  L  -0.633707
11  R  -1.11543
12  L  -0.765625
12  R  -1.38137
13  L  -0.94982
13  R  -0.986718
14  L  -0.794168
14  R  -0.647233
15  L  -1.18423
15  R  -1.05818
