# bar  side  diff_mean
0  L  -1.00543
0  R  -0.70959
1  L  -0.768685
1  R  -1.19765
2  L  -0.827249
2  R  -1.16431
3  L  -0.607241
3  R  -1.06056
4  L  -0.749249
4  R  -0.739174
5  L  -0.91151
5  R  -0.970641
6  L  -0.975372
6  R  -0.693867
7  L  -0.730616
7  R  -0.86576
8  L  -0.705493
8  R  -1.03084
9  L  -0.902146
9  R  -1.1635
10  L  -0.73724
10  R  -1.15939
11  L  -0.605356
11  R  -1.11494
12  L  -0.731952
12  R  -1.34785
13  L  -1.00117
13  R  -1.04413
14  L  -0.814725
14  R  -0.72702
15  L  -1.19163
15  R  -1.11794
