# bar  side  diff_mean
0  L  -1.1349
0  R  -0.748951
1  L  -0.867314
1  R  -1.13359
2  L  -0.847285
2  R  -1.20285
3  L  -0.63322
3  R  -1.20544
4  L  -0.737202
4  R  -0.724848
5  L  -0.894389
5  R  -0.979628
6  L  -1.01567
6  R  -0.683154
7  L  -0.759995
7  R  -0.899778
8  L  -0.734855
8  R  -1.04
9  L  -0.884754
9  R  -1.1777
10  L  -0.720639
10  R  -1.15096
11  L  -0.629495
11  R  -1.00507
12  L  -0.796581
12  R  -1.39334
13  L  -0.931159
13  R  -1.02149
14  L  -0.895987
14  R  -0.730145
15  L  -1.15346
15  R  -1.17276
