# bar  side  diff_mean
0  L  -1.0526
0  R  -0.684573
1  L  -0.870215
1  R  -1.21954
2  L  -0.820097
2  R  -1.18482
3  L  -0.628347
3  R  -1.15688
4  L  -0.734384
4  R  -0.716997
5  L  -0.894186
5  R  -0.956221
6  L  -1.00198
6  R  -0.693367
7  L  -0.757946
7  R  -0.896503
8  L  -0.732695
8  R  -1.04786
9  L  -0.874755
9  R  -1.17648
10  L  -0.726473
10  R  -1.19276
11  L  -0.626922
11  R  -1.0712
12  L  -0.780884
12  R  -1.38323
13  L  -0.966142
13  R  -1.0781
14  L  -0.783626
14  R  -0.71538
15  L  -1.10147
15  R  -1.10931
