# bar  side  diff_mean
0  L  -1.2034
0  R  -0.76286
1  L  -0.869665
1  R  -1.22342
2  L  -0.869359
2  R  -1.13445
3  L  -0.65635
3  R  -1.15658
4  L  -0.720419
4  R  -0.724985
5  L  -0.896969
5  R  -0.953051
6  L  -1.02233
6  R  -0.715476
7  L  -0.726797
7  R  -0.861741
8  L  -0.7346
8  R  -1.06439
9  L  -0.860961
9  R  -1.12315
10  L  -0.734865
10  R  -1.20442
11  L  -0.631371
11  R  -1.13008
12  L  -0.733551
12  R  -1.43487
13  L  -0.944392
13  R  -1.0111
14  L  -0.800143
14  R  -0.703698
15  L  -1.05155
15  R  -1.10503
