# bar  side  diff_mean
0  L  -1.21498
0  R  -0.755096
1  L  -0.86135
1  R  -1.11574
2  L  -0.850139
2  R  -1.07841
3  L  -0.618665
3  R  -1.18742
4  L  -0.679868
4  R  -0.69878
5  L  -0.891359
5  R  -0.956768
6  L  -1.03555
6  R  -0.656827
7  L  -0.773004
7  R  -0.897511
8  L  -0.725364
8  R  -1.02359
9  L  -0.883666
9  R  -1.20723
10  L  -0.720412
10  R  -1.20433
11  L  -0.655079
11  R  -1.12352
12  L  -0.736631
12  R  -1.26211
13  L  -0.96024
13  R  -1.03478
14  L  -0.891431
14  R  -0.706336
15  L  -1.18096
15  R  -1.18133
