# bar  side  diff_mean
0  L  -1.10039
0  R  -0.780658
1  L  -0.848295
1  R  -1.22102
2  L  -0.842093
2  R  -1.12056
3  L  -0.627224
3  R  -1.11686
4  L  -0.733121
4  R  -0.722616
5  L  -0.896258
5  R  -0.973787
6  L  -1.01286
6  R  -0.674349
7  L  -0.757786
7  R  -0.86158
8  L  -0.706989
8  R  -1.04446
9  L  -0.838875
9  R  -1.14312
10  L  -0.71245
10  R  -1.17078
11  L  -0.648587
11  R  -1.14987
12  L  -0.754258
12  R  -1.44068
13  L  -0.946754
13  R  -1.0477
14  L  -0.813134
14  R  -0.702144
15  L  -1.15819
15  R  -1.1006
