# bar  side  diff_mean
0  -295.544  58.5085
1  518.265  59.6645
2  603.031  58.1273
3  -55.7064  54.8344
4  -31.2844  55.6262
5  -21.4312  56.5421
6  109.225  54.3786
7  350.767  55.3885
8  151.808  56.1154
9  253.393  55.6146
10  303.383  56.3207
11  117.992  56.9621
12  472.243  60.539
13  408.042  59.5403
14  395.776  61.2587
15  255.623  66.2949
