bar,side,vov,th,calib
11,L,3,13,1.23995
11,R,3,13,0.937788
12,L,3,13,1.14311
12,R,3,13,0.914376
13,L,3,13,1.01554
13,R,3,13,1.03963
14,L,3,13,1.14705
14,R,3,13,1.40373
15,L,3,13,1.01651
15,R,3,13,1.07431
0,L,3,18,0.843834
0,R,3,18,1.27699
1,L,3,18,0.942952
1,R,3,18,0.883635
2,L,3,18,0.94512
2,R,3,18,0.879394
3,L,3,18,1.15536
3,R,3,18,0.795295
4,L,3,18,0.999245
4,R,3,18,1.08637
5,L,3,18,0.915525
5,R,3,18,0.960659
6,L,3,18,0.886904
6,R,3,18,1.14197
7,L,3,18,1.1076
7,R,3,18,0.990352
8,L,3,18,1.02386
8,R,3,18,0.917018
9,L,3,18,0.973085
9,R,3,18,0.89803
10,L,3,18,1.05855
10,R,3,18,0.902245
11,L,3,18,1.23931
11,R,3,18,0.938594
12,L,3,18,1.14544
12,R,3,18,0.914509
13,L,3,18,1.01463
13,R,3,18,1.03844
14,L,3,18,1.1458
14,R,3,18,1.40146
15,L,3,18,1.01907
15,R,3,18,1.07334
0,L,3,25,0.844227
0,R,3,25,1.27938
1,L,3,25,0.942637
1,R,3,25,0.881689
2,L,3,25,0.945542
2,R,3,25,0.87875
3,L,3,25,1.15418
3,R,3,25,0.795429
4,L,3,25,0.998497
4,R,3,25,1.08529
5,L,3,25,0.914533
5,R,3,25,0.95953
6,L,3,25,0.888708
6,R,3,25,1.14585
7,L,3,25,1.10605
7,R,3,25,0.99201
8,L,3,25,1.02533
8,R,3,25,0.917276
9,L,3,25,0.972503
9,R,3,25,0.895232
10,L,3,25,1.05847
10,R,3,25,0.902876
11,L,3,25,1.24124
11,R,3,25,0.938987
12,L,3,25,1.14504
12,R,3,25,0.915589
13,L,3,25,1.01402
13,R,3,25,1.03998
14,L,3,25,1.14597
14,R,3,25,1.40161
15,L,3,25,1.01801
15,R,3,25,1.07242
0,L,3,32,0.843126
0,R,3,32,1.2768
1,L,3,32,0.938687
1,R,3,32,0.879183
2,L,3,32,0.944278
2,R,3,32,0.87917
3,L,3,32,1.15651
3,R,3,32,0.797031
4,L,3,32,0.997434
4,R,3,32,1.08649
5,L,3,32,0.91651
5,R,3,32,0.961052
6,L,3,32,0.888752
6,R,3,32,1.14636
7,L,3,32,1.10719
7,R,3,32,0.993459
8,L,3,32,1.02372
8,R,3,32,0.916542
9,L,3,32,0.974686
9,R,3,32,0.89778
10,L,3,32,1.05698
10,R,3,32,0.902893
11,L,3,32,1.24058
11,R,3,32,0.937992
12,L,3,32,1.14476
12,R,3,32,0.916911
13,L,3,32,1.01257
13,R,3,32,1.03542
14,L,3,32,1.1464
14,R,3,32,1.4072
15,L,3,32,1.01985
15,R,3,32,1.07245
0,L,3,40,0.831384
0,R,3,40,1.25889
3,L,3,40,1.13564
3,R,3,40,0.783158
5,L,3,40,0.903407
5,R,3,40,0.946085
8,L,3,40,1.01029
8,R,3,40,0.902201
11,L,3,40,1.22095
11,R,3,40,0.924019
12,L,3,40,1.12695
12,R,3,40,0.901071
13,L,3,40,0.997179
13,R,3,40,1.02264
14,L,3,40,1.12596
14,R,3,40,1.37932
