# bar  side  diff_mean
0  L  0.892017
0  R  1.82119
1  L  1.12052
1  R  1.5144
2  L  1.51768
2  R  0.89384
3  L  1.20489
3  R  1.53241
4  L  1.0682
4  R  0.929225
5  L  1.22578
5  R  1.2892
6  L  1.59602
6  R  1.2395
7  L  0.960141
7  R  1.67888
8  L  0.906846
8  R  1.73367
9  L  1.49121
9  R  1.93302
10  L  1.8359
10  R  1.55095
11  L  1.2949
11  R  1.23906
12  L  1.3263
12  R  1.99169
13  L  1.11571
13  R  1.1684
14  L  1.25695
14  R  1.01623
15  L  1.21128
15  R  1.31697
