# bar  side  diff_mean
0  L  0.948683
0  R  1.40125
1  L  1.27567
1  R  1.05253
2  L  1.09111
2  R  1.50181
3  L  1.02897
3  R  1.27677
4  L  1.02888
4  R  1.04888
5  L  1.65826
5  R  2.61444
6  L  1.65751
6  R  0.58889
7  L  1.81238
7  R  1.29218
8  L  1.22137
8  R  1.2893
9  L  1.4408
9  R  1.52903
10  L  1.33771
10  R  1.6893
11  L  0.627423
11  R  0.86991
12  L  1.14561
12  R  2.1274
13  L  0.899633
13  R  1.11548
14  L  1.45361
14  R  0.872608
15  L  1.45298
15  R  2.00247
