# bar  side  diff_mean
0  L  1.29849
0  R  1.15767
1  L  1.15463
1  R  1.40914
2  L  1.03844
2  R  1.26118
3  L  1.56743
3  R  1.40123
4  L  0.86848
4  R  0.736192
5  L  1.43138
5  R  2.24904
6  L  1.5678
6  R  0.73986
7  L  1.20438
7  R  1.47012
8  L  0.948298
8  R  1.64948
9  L  1.54244
9  R  2.0797
10  L  1.48378
10  R  1.09829
11  L  1.0481
11  R  1.75264
12  L  0.998676
12  R  1.15018
13  L  1.79666
13  R  2.12918
14  L  1.32064
14  R  1.38722
15  L  2.31021
15  R  2.52274
