# bar  side  diff_mean
0  L  -1.73476
0  R  5.66658
1  L  1.44008
1  R  -1.81308
2  L  1.14702
2  R  -1.72721
3  L  6.69881
3  R  0.0228703
4  L  4.76882
4  R  5.29263
5  L  -0.455464
5  R  2.16645
6  L  -1.05296
6  R  6.59826
7  L  6.01739
7  R  3.00914
8  L  4.88954
8  R  -1.14377
9  L  2.85108
9  R  -0.913833
10  L  5.40934
10  R  -1.41392
11  L  6.84661
11  R  -0.447893
12  L  6.04493
12  R  -1.08504
13  L  4.19501
13  R  6.02144
14  L  7.48614
14  R  8.12919
15  L  5.2378
15  R  6.68523
