# bar  side  diff_mean
0  L  -2.37536
0  R  5.70807
1  L  1.58966
1  R  -0.817215
2  L  1.71593
2  R  -2.40739
3  L  4.86677
3  R  -0.341622
4  L  4.54573
4  R  5.44462
5  L  -0.451601
5  R  2.19168
6  L  -0.645858
6  R  6.79115
7  L  6.55872
7  R  3.47539
8  L  4.27188
8  R  -1.33269
9  L  3.38988
9  R  -0.953451
10  L  5.01736
10  R  -1.41455
11  L  6.63228
11  R  -1.22902
12  L  6.94516
12  R  -1.1808
13  L  5.47029
13  R  6.19688
14  L  11.6943
14  R  5.15601
15  L  5.8689
15  R  9.77846
