# bar  side  diff_mean
0  L  -1.01168
0  R  7.10836
1  L  1.9531
1  R  -2.5112
2  L  1.61036
2  R  -1.13261
3  L  5.7115
3  R  0.238808
4  L  4.49683
4  R  5.33632
5  L  -0.362125
5  R  1.84202
6  L  -0.570365
6  R  6.64644
7  L  6.62625
7  R  3.4291
8  L  4.31768
8  R  -1.07993
9  L  3.13987
9  R  -1.37428
10  L  4.32534
10  R  -1.21015
11  L  6.60606
11  R  -0.836628
12  L  6.09309
12  R  -1.17816
13  L  5.69019
13  R  5.80452
14  L  9.35641
14  R  6.51063
15  L  6.46931
15  R  11.8702
