# mode: global
# bar side calib
0 L 0.854003
0 R 1.27044
1 L 0.953815
1 R 0.874455
2 L 0.954306
2 R 0.867874
3 L 1.17202
3 R 0.786416
4 L 1.01553
4 R 1.06989
5 L 0.929221
5 R 0.95163
6 L 0.897132
6 R 1.12575
7 L 1.11885
7 R 0.974345
8 L 1.03951
8 R 0.90247
9 L 0.983815
9 R 0.885208
10 L 1.07298
10 R 0.892766
11 L 1.25776
11 R 0.925756
12 L 1.16541
12 R 0.903197
13 L 1.03089
13 R 1.02771
14 L 1.16551
14 R 1.38867
15 L 1.02754
15 R 1.05402
