# mode: global
# bar side calib
0 L 0.85096
0 R 1.26097
1 L 0.95745
1 R 0.877351
2 L 0.956506
2 R 0.869338
3 L 1.17588
3 R 0.787651
4 L 1.01597
4 R 1.07043
5 L 0.927011
5 R 0.950408
6 L 0.899783
6 R 1.12666
7 L 1.12247
7 R 0.976882
8 L 1.03799
8 R 0.901206
9 L 0.987247
9 R 0.886875
10 L 1.07548
10 R 0.892578
11 L 1.2605
11 R 0.925158
12 L 1.1659
12 R 0.903417
13 L 1.02411
13 R 1.02403
14 L 1.1633
14 R 1.39209
15 L 1.02386
15 R 1.04832
