# mode: global
# bar side calib
0 L 0.852962
0 R 1.27256
1 L 0.955512
1 R 0.874807
2 L 0.957818
2 R 0.869258
3 L 1.17199
3 R 0.785757
4 L 1.01477
4 R 1.06525
5 L 0.9288
5 R 0.951284
6 L 0.896651
6 R 1.1215
7 L 1.12397
7 R 0.977158
8 L 1.03906
8 R 0.902486
9 L 0.987381
9 R 0.886523
10 L 1.07657
10 R 0.891411
11 L 1.26267
11 R 0.929139
12 L 1.1644
12 R 0.903947
13 L 1.02353
13 R 1.02675
14 L 1.15984
14 R 1.37582
15 L 1.02639
15 R 1.05712
