# mode: global
# bar side calib
0 L 0.854693
0 R 1.27059
1 L 0.954688
1 R 0.873783
2 L 0.95605
2 R 0.868694
3 L 1.17068
3 R 0.784577
4 L 1.01332
4 R 1.06591
5 L 0.930126
5 R 0.953585
6 L 0.898065
6 R 1.12494
7 L 1.12022
7 R 0.975651
8 L 1.03902
8 R 0.901562
9 L 0.988406
9 R 0.888312
10 L 1.07315
10 R 0.890379
11 L 1.25932
11 R 0.924792
12 L 1.16717
12 R 0.903813
13 L 1.02957
13 R 1.02727
14 L 1.16886
14 R 1.39311
15 L 1.02325
15 R 1.04791
