# mode: global
# bar side calib
0 L 0.850948
0 R 1.27195
1 L 0.956997
1 R 0.874627
2 L 0.951751
2 R 0.865943
3 L 1.1681
3 R 0.785146
4 L 1.01543
4 R 1.07158
5 L 0.927228
5 R 0.951432
6 L 0.898628
6 R 1.12472
7 L 1.12273
7 R 0.976154
8 L 1.04093
8 R 0.903825
9 L 0.987707
9 R 0.888203
10 L 1.07643
10 R 0.893404
11 L 1.26644
11 R 0.929194
12 L 1.16677
12 R 0.904876
13 L 1.02617
13 R 1.02195
14 L 1.1559
14 R 1.3752
15 L 1.02997
15 R 1.0546
