# mode: global
# bar side calib
0 L 0.833056
0 R 1.29465
1 L 0.981585
1 R 0.894858
2 L 0.991111
2 R 0.904318
3 L 1.28395
3 R 0.823428
4 L 1.05772
4 R 1.12313
5 L 0.979582
5 R 1.03267
6 L 0.867151
6 R 1.26124
7 L 1.09026
7 R 1.01487
8 L 1.06512
8 R 0.889001
9 L 1.02326
9 R 0.906406
10 L 1.09155
10 R 0.89176
11 L 1.2591
11 R 0.917354
12 L 1.12646
12 R 0.841915
13 L 0.95739
13 R 0.914456
14 L 1.12135
14 R 1.21151
15 L 0.957861
15 R 0.908286
