# mode: global
# bar side calib
0 L 0.829406
0 R 1.29603
1 L 0.983958
1 R 0.895722
2 L 0.986654
2 R 0.901454
3 L 1.28112
3 R 0.824024
4 L 1.05993
4 R 1.1291
5 L 0.976531
5 R 1.03034
6 L 0.867695
6 R 1.261
7 L 1.0927
7 R 1.01539
8 L 1.06709
8 R 0.891232
9 L 1.02254
9 R 0.906295
10 L 1.09489
10 R 0.894789
11 L 1.26621
11 R 0.921721
12 L 1.12607
12 R 0.842905
13 L 0.954224
13 R 0.909722
14 L 1.10892
14 R 1.19593
15 L 0.964147
15 R 0.914085
