# mode: global
# bar side calib
0 L 0.829418
0 R 1.28484
1 L 0.984424
1 R 0.898511
2 L 0.991584
2 R 0.904988
3 L 1.28965
3 R 0.826654
4 L 1.06049
4 R 1.12789
5 L 0.976302
5 R 1.02923
6 L 0.868811
6 R 1.26318
7 L 1.09245
7 R 1.01615
8 L 1.06407
8 R 0.88865
9 L 1.02206
9 R 0.904939
10 L 1.09392
10 R 0.893963
11 L 1.26028
11 R 0.917718
12 L 1.12523
12 R 0.841545
13 L 0.952312
13 R 0.911568
14 L 1.11602
14 R 1.21062
15 L 0.958431
15 R 0.908641
